gene,score,status,guide_signif,guide_all,n_downstream,n_guides,n_cells_target,k562_concordance,specificity_call,hub_flag,specificity_flag,is_clean,clean_strict,axis,condition,direction
RARA,-0.1073097,authors-known,0.7512679311699242,0.1100690243835112,20.0,2.0,405.0,0.3069,T-cell-specific(measured),,,True,True,polarization,Stim8hr,low
MAMLD1,-0.098632574,authors-nominated,0.7696690412695399,0.08602420135497,40.0,2.0,1035.0,,no-K562-data,,,True,False,polarization,Stim8hr,low
PPRC1,-0.0900457,novel,0.7509732952477951,0.0597447942932855,39.0,2.0,311.0,0.5061,cell-line-shared/generic,,cell-line-shared/generic,False,False,polarization,Stim8hr,low
MTA2,-0.08920008,authors-known,0.7104019827887414,0.486054001465332,1728.0,2.0,205.0,0.6354,cell-line-shared/generic,hub/broad-effect,cell-line-shared/generic,False,False,polarization,Stim8hr,low
TNFRSF9,-0.08769727,novel,0.7870724657154734,0.1495834268534611,24.0,2.0,556.0,,no-K562-data,,,True,False,polarization,Stim8hr,low
APPBP2,-0.08086681,authors-nominated,0.5545168594740972,0.0832278846463089,23.0,2.0,541.0,,no-K562-data,,,True,False,polarization,Stim8hr,low
CLCC1,-0.07975209,authors-nominated,0.7977929372410631,0.1111182040103022,679.0,2.0,1040.0,0.4769,T-cell-specific(measured),,,True,True,polarization,Stim8hr,low
USP22,-0.074197985,authors-nominated,0.6562887412559082,0.301813418117819,2380.0,2.0,1371.0,0.5198,cell-line-shared/generic,hub/broad-effect,cell-line-shared/generic,False,False,polarization,Stim8hr,low
STAT6,-0.07032454,authors-known,0.5034141531014225,0.1057176524369526,232.0,2.0,612.0,,no-K562-data,,,True,False,polarization,Stim8hr,low
URM1,-0.0664806,novel,0.8210950928049318,0.2288133114583278,437.0,2.0,297.0,0.2764,T-cell-specific(measured),,,True,True,polarization,Stim8hr,low
CHD4,-0.066194415,authors-known,0.6850557361471133,0.3526520723916355,1516.0,2.0,246.0,0.4724,T-cell-specific(measured),,,True,True,polarization,Stim8hr,low
MTERF2,-0.06440038,authors-nominated,1.0,0.0959416023214587,20.0,2.0,968.0,,no-K562-data,,,True,False,polarization,Stim8hr,low
C2CD5,-0.06202379,authors-nominated,0.8083412442508281,0.0396822295699679,60.0,2.0,809.0,,no-K562-data,,,True,False,polarization,Stim8hr,low
BAHD1,-0.060387056,novel,0.8732325018502739,0.2811844765696264,95.0,2.0,388.0,0.3188,T-cell-specific(measured),,,True,True,polarization,Stim8hr,low
JADE2,-0.059134055,novel,1.0,0.1711212821872556,38.0,2.0,548.0,,no-K562-data,,,True,False,polarization,Stim8hr,low
IFNGR1,0.10703134,authors-known,0.8490406662968075,0.0170882849273979,109.0,2.0,412.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
CMAS,0.10136861,authors-nominated,0.6582449523640862,0.0662642396407422,61.0,2.0,171.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
JAK2,0.0859066,authors-known,0.5118748253779544,0.0712143092084982,33.0,2.0,815.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
TET2,0.07835494,authors-nominated,1.0,0.2609566382277062,57.0,2.0,1033.0,0.365,T-cell-specific(measured),,,True,True,polarization,Stim8hr,high
KDM1A,0.075809024,authors-nominated,0.8413086680278441,0.5420015751148273,2300.0,2.0,541.0,0.3885,T-cell-specific(measured),hub/broad-effect,,False,False,polarization,Stim8hr,high
EHMT2,0.074095026,authors-nominated,0.8408026309799179,0.4388207430598627,1177.0,2.0,593.0,0.4282,T-cell-specific(measured),,,True,True,polarization,Stim8hr,high
IFNAR1,0.073784135,novel,0.7058540002585071,0.0468356970725705,56.0,2.0,1214.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
FBXO11,0.07303671,authors-nominated,0.9627959338887532,0.3711222757715708,112.0,2.0,809.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
MED23,0.07233303,novel,0.682312110489325,0.2428076298750934,1011.0,2.0,754.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
PAXIP1,0.07193662,novel,0.7922813700267566,0.3328142221803346,991.0,2.0,463.0,0.3712,T-cell-specific(measured),,,True,True,polarization,Stim8hr,high
ZNF710,0.07187585,authors-nominated,0.7520208240284791,0.2914555538467385,249.0,2.0,99.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
TATDN2,0.07146608,novel,0.8831933098228619,0.0896482705987456,52.0,2.0,402.0,0.2642,T-cell-specific(measured),,,True,True,polarization,Stim8hr,high
CNOT4,0.0696667,novel,0.5989291482242811,0.2109924626886874,504.0,2.0,316.0,0.3418,T-cell-specific(measured),,,True,True,polarization,Stim8hr,high
SEC22A,0.06883496,authors-nominated,0.938813849195212,0.0698581324539555,30.0,2.0,1479.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
TRAF3,0.06794674,authors-known,0.7181614132656747,0.3803312321120929,1625.0,2.0,5560.0,0.4467,T-cell-specific(measured),,,True,True,polarization,Stim8hr,high
