gene,score,status,guide_signif,guide_all,n_downstream,n_guides,n_cells_target,k562_concordance,specificity_call,hub_flag,specificity_flag,is_clean,clean_strict,axis,condition,direction
TNFRSF9,-0.08769727,novel,0.7870724657154734,0.1495834268534611,24.0,2.0,556.0,,no-K562-data,,,True,False,polarization,Stim8hr,low
URM1,-0.0664806,novel,0.8210950928049318,0.2288133114583278,437.0,2.0,297.0,0.2764,T-cell-specific(measured),,,True,True,polarization,Stim8hr,low
BAHD1,-0.060387056,novel,0.8732325018502739,0.2811844765696264,95.0,2.0,388.0,0.3188,T-cell-specific(measured),,,True,True,polarization,Stim8hr,low
JADE2,-0.059134055,novel,1.0,0.1711212821872556,38.0,2.0,548.0,,no-K562-data,,,True,False,polarization,Stim8hr,low
INTS6,-0.05819561,novel,0.99416068509789,0.0939076004879498,43.0,2.0,514.0,0.3738,T-cell-specific(measured),,,True,True,polarization,Stim8hr,low
SIK3,-0.056576934,novel,0.6027025167707275,0.2169909386975004,478.0,2.0,330.0,,no-K562-data,,,True,False,polarization,Stim8hr,low
RAC2,-0.05598259,novel,0.8046219075385468,0.0759224654414904,120.0,2.0,576.0,0.3717,T-cell-specific(measured),,,True,True,polarization,Stim8hr,low
ADNP,-0.052138668,novel,0.828129671049873,0.1173554091768972,49.0,2.0,1221.0,0.3546,T-cell-specific(measured),,,True,True,polarization,Stim8hr,low
ZNF274,-0.05199567,novel,0.9592055480649028,0.3670361620589033,151.0,2.0,570.0,,no-K562-data,,,True,False,polarization,Stim8hr,low
HEXIM1,-0.051722284,novel,0.6063566989348825,0.1513752756841462,247.0,2.0,496.0,0.4617,T-cell-specific(measured),,,True,True,polarization,Stim8hr,low
IFNAR1,0.073784135,novel,0.7058540002585071,0.0468356970725705,56.0,2.0,1214.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
MED23,0.07233303,novel,0.682312110489325,0.2428076298750934,1011.0,2.0,754.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
PAXIP1,0.07193662,novel,0.7922813700267566,0.3328142221803346,991.0,2.0,463.0,0.3712,T-cell-specific(measured),,,True,True,polarization,Stim8hr,high
TATDN2,0.07146608,novel,0.8831933098228619,0.0896482705987456,52.0,2.0,402.0,0.2642,T-cell-specific(measured),,,True,True,polarization,Stim8hr,high
CNOT4,0.0696667,novel,0.5989291482242811,0.2109924626886874,504.0,2.0,316.0,0.3418,T-cell-specific(measured),,,True,True,polarization,Stim8hr,high
CCND2,0.06523275,novel,0.6881164136365263,0.2116521350078517,1320.0,2.0,707.0,0.3573,T-cell-specific(measured),,,True,True,polarization,Stim8hr,high
UXS1,0.059313145,novel,0.5775570384484556,0.1138194316477262,27.0,2.0,654.0,0.3548,T-cell-specific(measured),,,True,True,polarization,Stim8hr,high
TWF1,0.059241027,novel,0.9865451723569983,0.127499429449965,116.0,2.0,699.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
ATXN2L,0.055230387,novel,0.5616535852201996,0.174696300123632,119.0,2.0,404.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
DOCK2,0.051188532,novel,0.588990298275675,0.1878449271433051,327.0,2.0,896.0,,no-K562-data,,,True,False,polarization,Stim8hr,high
MAP3K1,-0.39577395,novel,0.671569198573053,0.1113399808767652,89.0,2.0,670.0,,no-K562-data,,,True,False,activation,Stim8hr,low
WAS,-0.39380965,novel,0.6318559718892,0.1275728851082861,494.0,2.0,522.0,0.3791,T-cell-specific(measured),,,True,True,activation,Stim8hr,low
CLCC1,-0.3797033,novel,0.7977929372410631,0.1111182040103022,679.0,2.0,1040.0,0.4769,T-cell-specific(measured),,,True,True,activation,Stim8hr,low
UBIAD1,-0.36993012,novel,0.6989180504211007,0.1198076541377186,89.0,2.0,440.0,0.2431,T-cell-specific(measured),,,True,True,activation,Stim8hr,low
TIA1,-0.36899474,novel,0.5321862227363556,0.1876390806608427,227.0,2.0,1148.0,,no-K562-data,,,True,False,activation,Stim8hr,low
PEX5,-0.33761078,novel,0.5758597905053958,0.2134306877875353,164.0,2.0,880.0,,no-K562-data,,,True,False,activation,Stim8hr,low
ALG8,-0.33264762,novel,0.806493744708658,0.1836403345959663,549.0,2.0,711.0,,no-K562-data,,,True,False,activation,Stim8hr,low
CD6,-0.3073631,novel,0.9955017349353268,0.0967068145052151,21.0,2.0,716.0,,no-K562-data,,,True,False,activation,Stim8hr,low
WDR54,-0.3016101,novel,0.8034139519387655,0.0565055855955275,102.0,2.0,1322.0,0.2406,T-cell-specific(measured),,,True,True,activation,Stim8hr,low
CD2,-0.30081892,novel,0.7405574170567446,0.2483432548227941,668.0,2.0,378.0,,no-K562-data,,,True,False,activation,Stim8hr,low
PDCL,0.3297993,novel,0.8479136027051191,0.342832008093381,1271.0,2.0,470.0,0.3916,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
CBLB,0.29880923,novel,0.920666011820015,0.3489726038018435,1027.0,2.0,1057.0,,no-K562-data,,,True,False,activation,Stim8hr,high
TRIT1,0.29309684,novel,0.8333115445560579,0.2154557236353422,42.0,2.0,1194.0,,no-K562-data,,,True,False,activation,Stim8hr,high
RSBN1L,0.2899036,novel,1.0,0.1622527604745191,178.0,2.0,1552.0,0.2722,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
ELP3,0.27892652,novel,0.7485164205340118,0.3135997700750898,995.0,2.0,409.0,0.3794,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
C2CD5,0.26360676,novel,0.8083412442508281,0.0396822295699679,60.0,2.0,809.0,,no-K562-data,,,True,False,activation,Stim8hr,high
COX15,0.2623078,novel,0.7204424741180265,0.13403258527585,97.0,2.0,704.0,0.2366,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
SMS,0.26011515,novel,0.5994832218127923,0.0871984933534007,52.0,2.0,301.0,0.2613,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
PPIH,0.25541157,novel,0.6585425379606276,0.2257309123426115,876.0,2.0,345.0,,no-K562-data,,,True,False,activation,Stim8hr,high
SLC4A7,0.24949327,novel,0.5952819144719366,0.0672111285908082,45.0,2.0,1477.0,0.2432,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
